,Torsional Stiffness Tracker,,,,,,,,,,,,,,,,,
,"The purpose of this spreadsheet is to have a running tracker of torsional stiffness values across configurations of the chassis. This way, we are able to identify the contributions to torsional stiffness of each change and find the running change in torsional stiffness across iterations!",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,#,Car,Date,Configuration,Force Applied,Moment Arm,Torque,Displacement (L),Displacement (R),Probe Distance,Angle,Torsional Stiffness,Weight,Stiffness to Weight,TS % Change,TS - Weight % Change,Project File,Analysis
,,SN4,8/22/2025,Baseline,500,1.23,615,,0.0107,,0.500603312,1228.517641,30.27,40.59,-,,,
,,SN4,8/23/2025,Roll Hoop Tube Size Reduction,500,1.2,600,,0.0104,,0.4957393612,1210.313417,,#DIV/0!,-1.48%,,,
,,,,,,,,,,,,,,,,,,
,1,5.1,10/2/2025,Baseline,500,0.44802,224.01,0.6680,2.4634,366.17,0.2809296725,797.388179,25.51,31.26,-,-,Sims,
,2,5.1,10/3/2025,Shoulder Harness Brace (Down --> Up),500,0.44802,224.01,0.6680,2.4599,366.17,0.280385159,798.9367227,25.30,31.58,0.19%,1.03%,,Free weight reduction!
,,,,,,,,,,,,,,,,,,
,3,5.2,10/8/2025,Baseline Geometry 10/8,500,0.44065,220.325,0.3279,1.7640,411.35,0.2000322853,1101.447197,32.78,33.61,38.13%,7.50%,,Lots of updated dimensions and geometries compared to previous
,4,5.2,10/7/2025,No seat mounting or FRH bracing,500,0.44065,220.325,0.3405,1.9301,411.35,0.2214125773,995.0880059,31.80,31.29,-9.66%,-6.89%,,These lateral tubes are very important!
,5,5.2,10/8/2025,No seat mounting tube,500,0.44065,220.325,0.3404,1.8276,411.35,0.2071483772,1063.609587,32.32,32.91,-3.44%,-2.07%,,
,6,5.2,10/9/2025,1.25 --> 1 Seat Belt Tube,500,0.44065,220.325,0.3315,1.7855,411.35,0.2025185307,1087.925136,32.75,33.22,-1.23%,-1.15%,,Not a good tradeoff! This tube has major contribution to TS because it spans laterally
,7,5.2,10/9/2025,Top X Brace | Damper to FRH,500,0.44065,220.325,0.3355,1.7329,411.35,0.1946391499,1131.966514,33.04,34.26,2.77%,1.95%,,"Lower TS increase than expected, SJSU design might be for load paths of steering"
,8,5.2,10/9/2025,Bot X Brace | Steering to FRH (No Top),500,0.44065,220.325,0.1400,1.8829,411.35,0.2427621649,907.575528,33.03,27.47,-17.60%,-18.25%,,
,9,5.2,10/9/2025,Double Accumulator Protection Brace,500,0.44065,220.325,0.1013,1.8513,411.35,0.243751086,903.8934086,34.43,26.25,-17.94%,-21.88%,,
,10,5.2,10/9/2025,Bot X Brace | Seat Tube to FRH,500,0.44065,220.325,0.3331,1.7524,411.35,0.1976936818,1114.476689,33.09,33.69,1.18%,0.24%,,Not very impactful
,11,5.2,10/9/2025,Bot X Brace | Front,500,0.44065,220.325,0.3129,1.5057,411.35,0.1661357055,1326.174884,33.30,39.83,20.40%,18.52%,,Very significant impact! Floor closeouts fill the same role though
,12,5.2,10/9/2025,Top X Brace | Front,500,0.44065,220.325,0.3362,1.5578,411.35,0.1701554987,1294.845019,33.31,38.87,17.56%,15.66%,,"Top side contributes less than bottom, but still a good amount of increase compared to baseline"
,13,5.2,10/10/2025,Top X Brace | Front,500,0.44065,220.325,0.0000,3.0300,411.35,0.4220325081,522.0569406,33.31,15.67,-52.60%,-53.37%,,
,,,,,,,,,,,,,,,,,,
,15,5.4,10/19/2025,10/19 Geometry Baseline,500,0.41568,207.84,0.3550,1.5966,411.35,0.1729384315,1201.814994,30.08,39.95,9.11%,18.88%,,
,16,5.4,10/19/2025,Baseline w/ previous damper lateral tube,500,0.41568,207.84,0.3540,1.5640,411.35,0.1685369959,1233.201048,30.49,40.45,2.61%,1.25%,,
,17,5.4,10/19/2025,Front bulkhead vertical thin (0.75x0.049 --> 0.75x0.028),500,0.41568,207.84,0.3579,1.5806,411.35,0.1703087133,1220.372088,30.02,40.66,1.54%,1.76%,,
,18,5.4,10/19/2025,Front a-arm vertical thin (0.75x0.049 --> 0.75x0.028),500,0.41568,207.84,0.3549,1.6077,411.35,0.1744970407,1191.080371,30.02,39.68,-0.89%,-0.68%,,
,19,5.4,10/19/2025,FRH Bottom Lateral Tube (1.125 x0.083 --> 1x0.028),500,0.41568,207.84,0.3604,1.6324,411.35,0.1771671507,1173.129438,29.77,39.41,-2.39%,-1.35%,,
,20,5.4,10/19/2025,Steering mounting tube (1x0.049 Sq --> 1x0.035 Sq),500,0.41568,207.84,0.3954,1.6157,411.35,0.1699716413,1222.792217,30.00,40.76,1.75%,2.02%,,
,21,5.4,10/19/2025,Driver restraint harness tube (0.75 x0.098 --> 1x0.049),500,0.41568,207.84,0.3496,1.5850,411.35,0.1720762517,1207.83663,29.98,40.29,0.50%,0.84%,,
,22,5.4,10/19/2025,Top X,500,0.41568,207.84,0.35176,1.3690,411.35,0.1416881973,1466.882945,30.68,47.81,22.06%,19.66%,,
,23,5.4,10/19/2025,Top Diagonal Direction 1 R (Rear)--> L (Front),500,0.41568,207.84,0.3415,1.3916,411.35,0.1462651449,1420.981055,30.42,46.71,18.24%,16.91%,,
,23,5.4,10/19/2025,Top Diagonal Direction 2,500,0.41568,207.84,0.3508,1.3936,411.35,0.1452483551,1430.928425,30.42,47.03,19.06%,17.73%,,
,24,5.4,10/19/2025,Bot Driver Harness to FRH X,500,0.41568,207.84,0.3561,1.5901,411.35,0.1718812514,1209.206928,30.41,39.77,0.62%,-0.46%,,
,25,5.4,10/19/2025,Bot FRH to Steering X,500,0.41568,207.84,0.3430,1.5340,411.35,0.1658947407,1252.842611,30.42,41.18,4.25%,3.08%,,
,25,5.4,10/19/2025,Front Bulkhead to Steering X,500,0.41568,207.84,0.3146,1.3755,411.35,0.1477694365,1406.51548,30.61,45.95,17.03%,15.02%,,
,26,5.4,10/19/2025,"Rear triagulation, diagonal direction toward twd",500,0.41568,207.84,0.3024,1.5429,411.35,0.1727907885,1202.841898,30.02,40.07,0.09%,0.29%,,
,27,5.4,10/19/2025,No rear triangulation,500,0.41568,207.84,0.8342,2.1640,411.35,0.1852234403,1122.104198,29.60,37.91,-6.63%,-5.10%,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,25.46,,,,,
